,date,description,language,text,title
0,2020-11-10,"European bank stocks had their strongest two days since the 2008 financial crisis on Tuesday, as promising vaccine developments prompted their recovery.",en,"LONDON/MILAN (Reuters) - European bank stocks had their strongest two days since the 2008 financial crisis on Tuesday, as promising vaccine developments prompted their recovery.
FILE PHOTO: A stock … [+2836 chars]",Strongest rally since 2008 fuels hopes of European bank stocks' revival - Reuters UK
1,2020-11-03,"Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial crisis and the 2010 euro crisis.",en,"LONDON (Reuters) - Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial cris… [+576 chars]",Over and out: EM central bank 20-month easing cycle grinds to a halt - Reuters
2,2020-11-03,"Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial crisis and the 2010 euro crisis.",en,"LONDON (Reuters) - Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial cris… [+576 chars]",Over and out: EM central bank 20-month easing cycle grinds to a halt - Reuters UK
3,2020-11-03,"Central bank interest rate cuts across emerging markets ground to a halt in October, bringing to an end an easing cycle that had exceeded the one sparked by the 2008 financial crisis and the 2010 euro crisis.",en,"A security guard's reflection is seen next to the logo of the Reserve Bank Of India (RBI) at the RBI headquarters in Mumbai, India, June 6, 2019. REUTERS/Francis Mascarenhas/File Photo
LONDON (Reute… [+765 chars]",GRAPHIC-Over and out: EM central bank 20-month easing cycle grinds to a halt - Reuters.com
4,2020-11-23,"After the panic comes the bailout. And after the bailout comes the reckoning. In 2008, governments rescued banks and then embarked on a decade-long overhaul to ensure they would never need to do so again. This year’s pandemic-induced meltdown in financial mar…",en,"LONDON (Reuters Breakingviews) - After the panic comes the bailout. And after the bailout comes the reckoning. In 2008, governments rescued banks and then embarked on a decade-long overhaul to ensure… [+5899 chars]",Breakingviews - March’s market bailout demands regulatory payback - Reuters
5,2020-11-16,"PNC Financial Services Group Inc <PNC.N> said on Monday it would buy the U.S. business of Spanish lender BBVA <BBVA.MC> for $11.6 billion in cash, further consolidating the U.S. banking sector.",en,"By Reuters Staff
FILE PHOTO: BBVA bank logo is pictured in Bogota, Colombia February 14, 2020. REUTERS/Luisa Gonzalez
(Reuters) - PNC Financial Services Group Inc PNC.N said on Monday it would buy … [+292 chars]",PNC to buy BBVA's U.S. banking arm for $11.6 billion in cash - Reuters
6,2020-11-04,"Many Wall Street banks' favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support a decade after the financial crisis tarnished its image in Washington.",en,"WASHINGTON (Reuters) - Many Wall Street banks favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support … [+3914 chars]",U.S. banks see several allies returned to key congressional seats - Reuters
7,2020-11-04,"Many Wall Street banks' favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support a decade after the financial crisis tarnished its image in Washington.",en,"WASHINGTON (Reuters) - Many Wall Street banks favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support … [+3957 chars]",U.S. banks see several allies returned to key congressional seats - Reuters India
8,2020-11-04,"Many Wall Street banks' favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of bipartisan support a decade after the financial crisis tarnished its image in Washington.",en,"By Pete Schroeder
WASHINGTON (Reuters) - Many Wall Street banks favorite lawmakers were returned to Congress overnight, boding well for the industry which has been trying to rebuild a broad base of … [+3976 chars]",U.S. banks see several allies returned to key congressional seats - Reuters Canada
9,2020-11-16,"PNC Financial Services Group Inc said on Monday it would buy the U.S. business of Spanish lender BBVA for $11.6 billion in cash, further consolidating the U.S. banking sector.",en,"By Reuters Staff
FILE PHOTO: The logo above a PNC Bank is shown in Charlotte, North Carolina April 18, 2012. REUTERS/Chris Keane/File photo
(Reuters) - PNC Financial Services Group Inc said on Mond… [+300 chars]",PNC to buy BBVA's U.S. banking arm for $11.6 billion in cash - Reuters India
10,2020-11-05,Companies are lining up to go public in Tel Aviv at a rate unseen in over a decade with the stock exchange getting a much needed boost as coronavirus limitations prompt businesses to raise funds closer to home.,en,JERUSALEM (Reuters) - Companies are lining up to go public in Tel Aviv at a rate unseen in over a decade with the stock exchange getting a much needed boost as coronavirus limitations prompt business… [+1936 chars],Tel Aviv exchange sees stream of IPOs during coronavirus crisis - Reuters
11,2020-11-16,"PNC Financial Services Group Inc <PNC.N> is nearing an all-cash deal to buy the U.S. business of Spanish lender BBVA <BBVA.MC> for more than $10 billion, further consolidating the U.S. banking sector, people familiar with the matter said on Sunday.",en,"(Reuters) - PNC Financial Services Group Inc PNC.N is nearing an all-cash deal to buy the U.S. business of Spanish lender BBVA BBVA.MC for more than $10 billion, further consolidating the U.S. bankin… [+3775 chars]",PNC nears deal to buy BBVA's U.S. banking arm for more than $10 billion - sources - Reuters India
12,2020-11-06,"Effective and quick policy coordination among major economies have helped keep currencies stable despite the shock caused by the coronavirus pandemic, Bank of Japan board member Makoto Sakurai said in a research paper released on Friday.",en,"By Reuters Staff
FILE PHOTO: Bank of Japan's (BOJ) board member Makoto Sakurai speaks during an interview with Reuters at the BOJ headquarters in Tokyo, Japan, September 1, 2016. REUTERS/Toru Hanai… [+1831 chars]",BOJ's Sakurai says global policy coordination kept FX moves stable - Reuters India
13,2020-11-06,"Effective and quick policy coordination among major economies have helped keep currencies stable despite the shock caused by the coronavirus pandemic, Bank of Japan board member Makoto Sakurai said in a research paper released on Friday.",en,"By Reuters Staff
FILE PHOTO: Bank of Japan's (BOJ) board member Makoto Sakurai speaks during an interview with Reuters at the BOJ headquarters in Tokyo, Japan, September 1, 2016. REUTERS/Toru Hanai… [+1831 chars]",BOJ's Sakurai says global policy coordination kept FX moves stable - Reuters
14,2020-11-11,"Ray Dalio, founder of Bridgewater Associates, expressed support on Wednesday for China's abrupt decision to suspend Ant Group's record $37 billion listing, citing the need to curb risks from financial innovation.",en,"By Reuters Staff
SHANGHAI (Reuters) - Ray Dalio, founder of Bridgewater Associates, expressed support on Wednesday for Chinas abrupt decision to suspend Ant Groups record $37 billion listing, citing… [+2048 chars]","Bridgewater's Dalio supports Ant IPO suspension, bullish on China - Reuters"
15,2020-11-16,"Britain will face a growing skills shortage over the next decade if it does not start retraining and reskilling workers for the shift to a digital-based economy which has been sped up by the COVID-19 pandemic, a McKinsey report said on Monday.",en,"By Reuters Staff
A person looks at the adverts in the window of a job agency in London, Britain October 13, 2020. REUTERS/Hannah McKay/Files
LONDON (Reuters) - Britain will face a growing skills sh… [+1696 chars]","UK faces skills shortage as COVID-19 splits job market, McKinsey says - Reuters India"
16,2020-11-16,"Britain will face a growing skills shortage over the next decade if it does not start retraining and reskilling workers for the shift to a digital-based economy which has been sped up by the COVID-19 pandemic, a McKinsey report said on Monday.",en,"By Reuters Staff
FILE PHOTO: People wearing face masks walk past a job recruitment centre amid the outbreak of the coronavirus disease (COVID-19) in Newcastle-under-Lyme, Staffordshire, Britain, Sep… [+1790 chars]","UK faces skills shortage as COVID-19 splits job market, McKinsey says - Reuters.com"
17,2020-11-16,Walmart’s sale of a majority stake in its Seiyu supermarkets is an example of how a global health crisis can accelerate change even in the stodgiest of markets. The U.S. retail giant is offloading 65% to private equity shop KKR and 20% to Seiyu’s Japanese e-c…,en,"A woman is reflected on a logo of Seiyu at its chainstore in Tokyo, Japan, July 12, 2018. REUTERS/Kim Kyung-Hoon 
HONG KONG (Reuters Breakingviews) - Walmarts sale of a majority stake in its Seiyu s… [+2645 chars]",Breakingviews - Walmart sale is nod to Japan’s online Suga rush - Reuters
18,2020-10-30,"British lender NatWest reported forecast-beating third quarter earnings on Friday, after setting aside a smaller cash pile in the period to deal with likely loan defaults due to the coronavirus pandemic.",en,"By Reuters Staff
LONDON, Oct 30 (Reuters) - British lender NatWest reported forecast-beating third quarter earnings on Friday, after setting aside a smaller cash pile in the period to deal with like… [+865 chars]",NatWest swings to profit as pandemic loan charges fall - Reuters
19,2020-10-30,"NatWest <NWG.L> reported better than expected third quarter profit as COVID-19-linked provisions for bad loans dwindled, but it warned tougher times lie ahead as fresh social and economic restrictions to curb the pandemic begin to bite.",en,"LONDON (Reuters) - NatWest NWG.L reported better than expected third quarter profit as COVID-19-linked provisions for bad loans dwindled, but it warned tougher times lie ahead as fresh social and eco… [+2469 chars]",NatWest swings to profit as pandemic loan charges fall - Reuters
0,2020-11-16,"INTERVIEW - Pour le président de la société de conseil Alixio, spécialiste des politiques sociales, le mécontentement et le sentiment d'injustice dans une période aussi incertaine peuvent être des facteurs spontanés très forts de déclenchement de crise.",fr,"LE FIGARO. - Après la crise sanitaire, doit-on craindre une crise sociale ?
Raymond SOUBIE. - Une crise sociale n'est jamais certaine. Mais il y a beaucoup d'éléments qui laissent penser qu'aujourd'… [+911 chars]",Raymond Soubie: «Beaucoup de travailleurs indépendants ont un sentiment d'injustice»
